question_text,summary,example,constraints,leetcode_link,title,category,solution
How to find all unique triplets in an array that sum to zero using a two-pointer approach?,3Sum problem solution,"Input: nums = [-1, 0, 1, 2, -1, -4], Output: [[-1, -1, 2], [-1, 0, 1]]","The input array can contain both positive and negative integers, and the output should not contain duplicate triplets.",https://leetcode.com/problems/Three-Sum/,Three Sum,Two Pointers,"['class Solution:\n    def threeSum(self, nums: list[int]) -> list[list[int]]:\n        # sort the list\n        nums.sort()\n        \n        # result list\n        result: list[list[int]] = []\n\n        for i in range(len(nums)):\n            # Avoid duplicates for the first number\n            if i > 0 and nums[i] == nums[i - 1]:\n                continue\n            \n            # left and right pointers - left starts at i + 1, right starts at the end of the list\n            left, right = i + 1, len(nums) - 1\n\n            while left < right:\n                # calculate the current sum\n                current_sum = nums[i] + nums[left] + nums[right]\n\n                # if current_sum is less than 0, we need a larger number, move left pointer right\n                if current_sum < 0:\n                    left += 1\n                # if current_sum is greater than 0, we need a smaller number, move right pointer left\n                elif current_sum > 0:\n                    right -= 1\n                else:\n                    # if the sum equals to 0, we found a triplet\n                    result.append([nums[i], nums[left], nums[right]])\n\n                    # Skip duplicates for the second and third numbers\n                    while left < right and nums[left] == nums[left + 1]:\n                        left += 1\n                    while left < right and nums[right] == nums[right - 1]:\n                        right -= 1\n\n                    left += 1\n                    right -= 1\n\n        return result', '# Tests\nthree_sums = Solution().threeSum\n\nprint(three_sums([-1, 0, 1, 2, -1, -4]))\nprint(three_sums([0, 1, 1]))\nprint(three_sums([0, 0, 0]))']"
What are the time and space complexities of the happy number problem using the fast-slow pointer technique?,Happy number problem analysis,"Input: 19, Output: True (19 is a happy number)",Input number n must be a positive integer.,https://leetcode.com/problems/Happy-Number/,Happy Number,Two Pointers,"['class Solution:\n    def isHappy(self, n: int) -> bool:\n        """"""Determine if n is a happy number.""""""\n        slow = fast = n\n        while True:\n            slow = self.sum_of_squares(slow)  # Move one step\n            fast = self.sum_of_squares(self.sum_of_squares(fast))  # Move two steps\n            if fast == 1:\n                return True  # Found a happy number\n            if slow == fast:\n                return False  # Detected a cycle, not a happy number\n\n\n    def sum_of_squares(self, n: int) -> int:\n        """"""Return the sum of the squares of the digits of n.""""""\n        total = 0\n        while n > 0:\n            digit = n % 10\n            total += digit ** 2\n            n //= 10\n        return total', '# Test cases\n\nis_happy = Solution().isHappy\n\ntest_numbers = [19, 2, 7, 20, 28, 100, 4]\ntest_results = {num: is_happy(num) for num in test_numbers}\n\ntest_results']"
How to find the longest substring without repeating characters in a given string `s` using the sliding window technique?,Longest substring without repeating characters,Input: 'abcabcbb' Output: 3 (substring 'abc'),The input string `s` can contain any characters.,https://leetcode.com/problems/Longest-Substring-Without-Repeating-Characters/,Longest Substring Without Repeating Characters,Sliding Window,"['class Solution:\n    def lengthOfLongestSubstring(self, s: str) -> int:\n        char_set = set()\n        max_length = 0\n        start = 0\n\n        for end in range(len(s)):\n            while s[end] in char_set:\n                char_set.remove(s[start])\n                start += 1\n            char_set.add(s[end])\n            max_length = max(max_length, end - start + 1)\n\n        return max_length', '# Testing the function with the provided examples\n\nlength_of_longest_substring = Solution().lengthOfLongestSubstring\n\nexample1 = ""abcabcbb""  # Expected output: 3\nexample2 = ""bbbbb""  # Expected output: 1\nexample3 = ""pwwkew""  # Expected output: 3\n\nlength_example1 = length_of_longest_substring(example1)\nlength_example2 = length_of_longest_substring(example2)\nlength_example3 = length_of_longest_substring(example3)\n\nlength_example1, length_example2, length_example3']"
Find the smallest substring in string `s` that contains all characters of string `t` using the sliding window technique.,Minimum Window Substring problem,"Input: s = 'ADOBECODEBANC', t = 'ABC' -> Output: 'BANC'; Input: s = 'a', t = 'a' -> Output: 'a'; Input: s = 'a', t = 'aa' -> Output: ''","Time complexity should be O(m + n), where m is the length of s and n is the length of t.",https://leetcode.com/problems/Minimum-Window-Substring/,Minimum Window Substring,Sliding Window,"['def min_window_substring(s: str, t: str) -> str:\n    if not t or not s:\n        return """"\n\n    # Dictionary which keeps a count of all the unique characters in t.\n    dict_t = {}\n    for character in t:\n        dict_t[character] = dict_t.get(character, 0) + 1\n\n    # Number of unique characters in t, which need to be present in the desired window.\n    required = len(dict_t)\n\n    # Left and Right pointer\n    l, r = 0, 0\n\n    # Formed is used to keep track of how many unique characters in t are present in the current window in its desired frequency.\n    # e.g. if t is ""AABC"" then the window must have two A\'s, one B and one C. Thus formed would be = 3 when all these conditions are met.\n    formed = 0\n\n    # Dictionary which keeps a count of all the unique characters in the current window.\n    window_counts = {}\n\n    # ans tuple of the form (window length, left, right)\n    ans = float(""inf""), None, None\n\n    while r < len(s):\n        # Add one character from the right to the window\n        character = s[r]\n        window_counts[character] = window_counts.get(character, 0) + 1\n\n        # If the frequency of the current character added equals to the desired count in t then increment the formed count by 1.\n        if character in dict_t and window_counts[character] == dict_t[character]:\n            formed += 1\n\n        # Try and contract the window till the point where it ceases to be \'desirable\'.\n        while l <= r and formed == required:\n            character = s[l]\n\n            # Save the smallest window until now.\n            if r - l + 1 < ans[0]:\n                ans = (r - l + 1, l, r)\n\n            # The character at the position pointed by the `Left` pointer is no longer a part of the window.\n            window_counts[character] -= 1\n            if character in dict_t and window_counts[character] < dict_t[character]:\n                formed -= 1\n\n            # Move the left pointer ahead, this would help to look for a new window.\n            l += 1\n\n        # Keep expanding the window once we are done contracting.\n        r += 1\n    return """" if ans[0] == float(""inf"") else s[ans[1] : ans[2] + 1]\n\n\n# Test the function with the provided examples\nexample1 = min_window_substring(""ADOBECODEBANC"", ""ABC"")  # Expected: ""BANC""\nexample2 = min_window_substring(""a"", ""a"")  # Expected: ""a""\nexample3 = min_window_substring(""a"", ""aa"")  # Expected: """"\n\nexample1, example2, example3']"
What is the time and space complexity for finding concatenated substrings with permutations of given words?,Analyze time and space complexity,"Input: s = 'barfoothefoobarman', words = ['foo', 'bar']
Output: [0, 9]",N is the length of string s; word_count is the number of words in the list.,https://leetcode.com/problems/Substring-with-Concatenation-of-All-Words/,Substring with Concatenation of All Words,Sliding Window,"['class Solution:\n    # solve the problem using a sliding window\n    def findSubstring(self, s: str, words: list[str]) -> list[int]:\n        if not words or not s:\n            return []\n\n        word_length = len(words[0])\n        word_frequency = {}\n\n        # Create a frequency map for the words\n        for word in words:\n            word_frequency[word] = word_frequency.get(word, 0) + 1\n\n        result = []\n\n        # Iterate over the string in word_length-sized steps, starting at different indices\n        for i in range(word_length):\n            left = i  # Left boundary of the sliding window\n            count = 0  # Count of words matched in the current window\n            current_window_count = {}  # Counts words in the current window\n\n            # Slide the window over the string\n            for j in range(i, len(s) - word_length + 1, word_length):\n                word = s[j : j + word_length]\n                if word in word_frequency:\n                    current_window_count[word] = current_window_count.get(word, 0) + 1\n                    count += 1\n\n                    # Slide the left boundary to the right to remove excess words\n                    while current_window_count[word] > word_frequency[word]:\n                        left_word = s[left : left + word_length]\n                        current_window_count[left_word] -= 1\n                        left += word_length\n                        count -= 1\n\n                    # Check if the current window matches the words array\n                    if count == len(words):\n                        result.append(left)\n                else:\n                    current_window_count.clear()\n                    count = 0\n                    left = j + word_length\n\n        return result', '# Example 1\n\nfindSubstring = Solution().findSubstring\n\ns1 = ""barfoothefoobarman""\nwords1 = [""foo"", ""bar""]\nprint(findSubstring(s1, words1))  # Expected output: [0, 9]\n\n# Example 2\ns2 = ""wordgoodgoodgoodbestword""\nwords2 = [""word"", ""good"", ""best"", ""word""]\nprint(findSubstring(s2, words2))  # Expected output: []\n\n# Example 3\ns3 = ""barfoofoobarthefoobarman""\nwords3 = [""bar"", ""foo"", ""the""]\nprint(findSubstring(s3, words3))  # Expected output: [6, 9, 12]']"
"Given an array of positive integers nums and a positive integer target, return the minimal length of a subarray whose sum is greater than or equal to target. If there is no such subarray, return 0 instead.",Minimum size subarray sum,"Input: target = 7, nums = [2,3,1,2,4,3] Output: 2; Input: target = 4, nums = [1,4,4] Output: 1; Input: target = 11, nums = [1,1,1,1,1,1,1,1] Output: 0",1 <= target <= 10^9; 1 <= nums.length <= 10^5; 1 <= nums[i] <= 10^4,https://leetcode.com/problems/Minimum-Size-Subarray-Sum/,Minimum Size Subarray Sum,Sliding Window,"['# Approach 1: Sliding Window (O(n) Time Complexity)\nclass Solution1:\n    def minSubArrayLen(self, target: int, nums: list[int]) -> int:\n        # Length of the input array\n        n = len(nums)\n        # Initialize the minimum length to infinity (to represent a very large number)\n        min_length = float(""inf"")\n        # Initialize the left pointer of the window to 0\n        left = 0\n        # Initialize the current sum of the window to 0\n        current_sum = 0\n\n        # Iterate over the array with the right pointer\n        for right in range(n):\n            # Add the current right element to the window\'s sum\n            current_sum += nums[right]\n\n            # Once the current sum is greater or equal to the target, try to shrink the window\n            while current_sum >= target:\n                # Update the minimum length if the current window is smaller\n                min_length = min(min_length, right - left + 1)\n                # Subtract the leftmost element from the sum as we are about to move the left pointer to the right\n                current_sum -= nums[left]\n                # Move the left pointer to the right, effectively shrinking the window\n                left += 1\n\n        # If min_length is still infinity, it means no valid subarray was found. Return 0 in this case.\n        # Otherwise, return the minimum length found.\n        return min_length if min_length != float(""inf"") else 0\n\n\n# Example usage\nsolution1 = Solution1()\nprint(solution1.minSubArrayLen(7, [2, 3, 1, 2, 4, 3]))  # Output: 2']"
"Given two strings `ransomNote` and `magazine`, return `true` if `ransomNote` can be constructed using letters from `magazine`, otherwise return `false`. Each letter in `magazine` can only be used once.",Ransom note construction check,"Input: ransomNote = ""a"", magazine = ""b""; Output: false. Input: ransomNote = ""aa"", magazine = ""ab""; Output: false. Input: ransomNote = ""aa"", magazine = ""aab""; Output: true.","1 <= ransomNote.length, magazine.length <= 10^5; ransomNote and magazine consist of lowercase English letters.",https://leetcode.com/problems/Ransom-Note/,Ransom Note,Hashmap,"['class Solution:\n    # O(n) time complexity: iterate over both strings once\n    # O(n) space complexity: store all chars of magazine in dict\n    def canConstruct(self, ransomNote: str, magazine: str) -> bool:\n        # create a dictionary to store the freq of each char in the magazine\n        magazine_chars = {}\n\n        for char in magazine:\n            if char in magazine_chars:\n                # Increment the count if the character is already in the dictionary\n                magazine_chars[char] += 1\n            else:\n                # Initialize the count to 1 for new characters\n                magazine_chars[char] = 1\n\n        # check if the ransom note can be constructed\n        for char in ransomNote:\n            # Return False if the character is not in the magazine or has been used up\n            if char not in magazine_chars or magazine_chars[char] == 0:\n                return False\n            # Decrement the count of the character used\n            magazine_chars[char] -= 1\n\n         # Return True if all characters in ransomNote can be constructed from the magazine\n        return True', '# Testing the function with the provided examples\n\ncan_construct = Solution().canConstruct\n\nexample1 = can_construct(""a"", ""b"")  # Expected: False\nexample2 = can_construct(""aa"", ""ab"")  # Expected: False\nexample3 = can_construct(""aa"", ""aab"")  # Expected: True\n\nexample1, example2, example3']"
"Given two strings `s` and `t`, determine if they are isomorphic. Two strings are isomorphic if the characters in `s` can be replaced to get `t`, with all occurrences of a character replaced consistently and no two characters mapping to the same character.",Check if strings are isomorphic,"Input: s = ""egg"", t = ""add""; Output: true. Input: s = ""foo"", t = ""bar""; Output: false. Input: s = ""paper"", t = ""title""; Output: true.",1 <= s.length <= 5 * 10^4; t.length == s.length; s and t consist of any valid ascii character.,https://leetcode.com/problems/Isomorphic-Strings/,Isomorphic Strings,Hashmap,"['class Solution:\n    # O(n) time complexity: iterate over both strings once\n    # O(m) space complexity: m = number of unique characters in s - Given that there are only 256 ASCII characters, m is constant and can be considered O(1)\n    def isIsomorphic(self, s: str, t: str) -> bool:\n        # First, check if s and t are of equal length. If not, they cannot be isomorphic.\n        if len(s) != len(t):\n            return False\n\n        # char_map will store the mapping of characters from s to t.\n        char_map = {}\n        # mapped_chars will keep track of characters in t that are already mapped to characters in s.\n        mapped_chars = set()\n\n        # Iterate over characters of both s and t simultaneously.\n        for char_s, char_t in zip(s, t):\n            # If char_s is not already mapped, map it to char_t.\n            if char_s not in char_map:\n                # If char_t is already mapped to some other character in s, then s and t are not isomorphic.\n                if char_t in mapped_chars:\n                    return False\n                # Map char_s to char_t and add char_t to the set of mapped characters.\n                char_map[char_s] = char_t\n                mapped_chars.add(char_t)\n            # If char_s is already mapped, check for consistency in mapping. If inconsistent, return False.\n            elif char_map[char_s] != char_t:\n                return False\n\n        # If all checks pass, s and t are isomorphic.\n        return True', 'is_isomorphic = Solution().isIsomorphic\n\ntest_cases = [(""egg"", ""add""), (""foo"", ""bar""), (""paper"", ""title"")]\nresults = [is_isomorphic(s, t) for s, t in test_cases]\nresults']"
"Given a pattern and a string s, determine if s follows the same pattern with a bijection between letters and non-empty words.",Check string pattern match,"Input: pattern = 'abba', s = 'dog cat cat dog' Output: true; Input: pattern = 'abba', s = 'dog cat cat fish' Output: false; Input: pattern = 'aaaa', s = 'dog cat cat dog' Output: false",1 <= pattern.length <= 300; pattern contains only lower-case English letters; 1 <= s.length <= 3000; s contains only lowercase English letters and spaces; s does not contain leading or trailing spaces; All words in s are separated by a single space.,https://leetcode.com/problems/Word-Pattern/,Word Pattern,Hashmap,"[""class Solution:\n    def wordPattern(self, pattern: str, s: str) -> bool:\n        # Split the string into words\n        words = s.split()\n\n        # If the number of elements in pattern and words don't match, return False\n        if len(pattern) != len(words):\n            return False\n\n        # Dictionary to store the mapping of pattern characters to words\n        mapping = {}\n\n        # Iterate over the pattern characters and corresponding words\n        for char, word in zip(pattern, words):\n            # Check if the character is already mapped to a different word,\n            # or if the word is mapped to a different character\n            if (char in mapping and mapping[char] != word) or \\\n                    (word in mapping.values() and char not in mapping):\n                return False\n\n            # Map the character to the word\n            mapping[char] = word\n\n        # If all checks pass, return True\n        return True"", '# Test the function with the provided examples\nword_pattern = Solution().wordPattern\n\ntest_cases = [\n    (""abba"", ""dog cat cat dog""),  # Example 1\n    (""abba"", ""dog cat cat fish""),  # Example 2\n    (""aaaa"", ""dog cat cat dog"")   # Example 3\n]\n\nresults = [word_pattern(pattern, s) for pattern, s in test_cases]\nresults']"
What is the time and space complexity of the isAnagram function?,Analyze isAnagram complexity,"Input: s = 'listen', t = 'silent' -> Output: True",Strings s and t are of equal length.,https://leetcode.com/problems/Valid-Anagram/,Valid Anagram,Hashmap,"['class Solution:\n    def isAnagram(self, s: str, t: str) -> bool:\n        if len(s) != len(t):\n            return False\n\n        count_s, count_t = {}, {}\n\n        for char in s:\n            count_s[char] = count_s.get(char, 0) + 1\n\n        for char in t:\n            count_t[char] = count_t.get(char, 0) + 1\n\n        return count_s == count_t', '# Test Cases\n\nsolution = Solution()\n\n# Example 1\nassert solution.isAnagram(""anagram"", ""nagaram"") == True\nprint(""Example 1 passed"")\nassert solution.isAnagram(""rat"", ""car"") == False\nprint(""Example 2 passed"")']"
What is the time and space complexity of the algorithm for grouping anagrams?,Analyze time and space complexity,"Input: ['eat', 'tea', 'tan', 'ate', 'nat', 'bat'] Output: [['eat', 'tea', 'ate'], ['tan', 'nat'], ['bat']]","N is the number of strings, K is the maximum length of a string.",https://leetcode.com/problems/Group-Anagrams/,Group Anagrams,Hashmap,"[""class Solution:\n    def groupAnagrams(self, strs: list[str]) -> list[list[str]]:\n        # Dictionary to hold sorted string as key and list of anagrams as value\n        anagrams: dict[str, list[str]] = {}\n        \n        # Iterate through each string in strs\n        for s in strs:\n            # Sort the string\n            sorted_s = ''.join(sorted(s))\n            \n            # If sorted string is not in dictionary, add it with empty list as value\n            if sorted_s not in anagrams:\n                anagrams[sorted_s] = []\n            \n            # Append the string to the list of anagrams\n            anagrams[sorted_s].append(s)\n            \n        # Return the values of the dictionary\n        return list(anagrams.values())"", '# Test the function with the provided examples\n\ngroup_anagrams = Solution().groupAnagrams\n\nexample1 = [""eat"", ""tea"", ""tan"", ""ate"", ""nat"", ""bat""]\nexample2 = [""""]\nexample3 = [""a""]\n\nresult1 = group_anagrams(example1)\nresult2 = group_anagrams(example2)\nresult3 = group_anagrams(example3)\n\nresult1, result2, result3']"
"Given an array of integers `nums` and an integer `target`, return indices of the two numbers such that they add up to target. Each input has exactly one solution, and the same element cannot be used twice.",Find two sum indices,"Input: nums = [2,7,11,15], target = 9; Output: [0,1]",2 <= nums.length <= 10^4; -10^9 <= nums[i] <= 10^9; -10^9 <= target <= 10^9; Only one valid answer exists.,https://leetcode.com/problems/Two-Sum/,Two Sum,Hashmap,"['', 'class Solution:\n    # Solve with O(n) time complexity, O(n) space complexity\n    def twoSum(self, nums: list[int], target: int) -> list[int]:\n        # Create a dictionary to store the index of each number\n        num_to_index = {}\n\n        # Iterate through the list of numbers\n        for i, num in enumerate(nums):\n            # Calculate the number needed to reach the target\n            complement = target - num\n\n            # If the needed number is in the dictionary, return the indices\n            if complement in num_to_index:\n                return [num_to_index[complement], i]\n\n            # Add the current number to the dictionary\n            num_to_index[num] = i', '# Test\ntwo_sum = Solution().twoSum\n\n# Example 1\nprint(two_sum([2, 7, 11, 15], 9))\n\n# Example 2\nprint(two_sum([3, 2, 4], 6))\n\n# Example 3\nprint(two_sum([3, 3], 6))']"
What is the time and space complexity of the solution to the 'Contains Duplicate II' problem?,Analyze time and space complexity,"Input: nums = [1,2,3,1], k = 3; Output: True",n is the length of nums; k is the maximum distance between duplicate values.,https://leetcode.com/problems/Contains-Duplicate-II/,Contains Duplicate II,Hashmap,"['class Solution:\n    def containsNearbyDuplicate(self, nums: list[int], k: int) -> bool:\n        # init a dict to store the index of each number encountered\n        num_to_index = {}\n\n        # iterate through the list\n        for i, num in enumerate(nums):\n            # if the number is already in the dict and the difference between the current index and the previous index is less than or equal to k\n            if num in num_to_index and i - num_to_index[num] <= k:\n                return True\n            # update the index of the number\n            num_to_index[num] = i\n\n        # if no such pair of numbers found\n        return False', '# Test the function with the provided examples\n\ncontains_nearby_duplicate = Solution().containsNearbyDuplicate\n\ntest_cases = [\n    ([1, 2, 3, 1], 3),  # Example 1\n    ([1, 0, 1, 1], 1),  # Example 2\n    ([1, 2, 3, 1, 2, 3], 2)  # Example 3\n]\n\n# Execute test cases\nresults = [contains_nearby_duplicate(nums, k) for nums, k in test_cases]\nresults']"
"Given an unsorted array of integers `nums`, return the length of the longest consecutive elements sequence. The algorithm must run in O(n) time.",Longest consecutive sequence length,"Input: nums = [100,4,200,1,3,2] Output: 4; Input: nums = [0,3,7,2,5,8,4,6,0,1] Output: 9",0 <= nums.length <= 10^5; -10^9 <= nums[i] <= 10^9,https://leetcode.com/problems/Longest-Consecutive-Sequence/,Longest Consecutive Sequence,Hashmap,"['class Solution:\n    # O(n) time complexity: iterate through nums once\n    # O(n) space complexity: set of nums\n    def longestConsecutive(self, nums: list[int]) -> int:\n        if not nums:\n            return 0\n\n        # insert all numbers into a set\n        # Convert nums into a set (nums_set) to remove duplicates and allow for O(1) existence checks.\n        nums_set = set(nums)\n\n        # initialize longest_streak\n        longest_streak = 0\n\n        # iterate through the set\n        for num in nums_set:\n            # for each number, check if it is the start of a sequence\n            if num - 1 not in nums_set:\n                current_num = num\n                current_streak = 1\n                # explore the sequence - keep checking an incrementing the current number\n                while current_num + 1 in nums_set:\n                    current_num += 1\n                    current_streak += 1\n\n                # update the longest_streak\n                longest_streak = max(longest_streak, current_streak)\n\n        return longest_streak', '# Testing\nlongestConsecutive = Solution().longestConsecutive\n\n# Example 1\n\nnums1 = [100, 4, 200, 1, 3, 2]\nprint(longestConsecutive(nums1))  # Output: 4\n\n# Example 2\nnums2 = [0, 3, 7, 2, 5, 8, 4, 6, 0, 1]\nprint(longestConsecutive(nums2))  # Output: 9']"
"Given a sorted unique integer array nums, return the smallest sorted list of ranges that cover all the numbers in the array exactly.",Return smallest sorted ranges,"Input: nums = [0,1,2,4,5,7] Output: [""0->2"",""4->5"",""7""]",0 <= nums.length <= 20; 2^31 <= nums[i] <= 2^31 - 1; All values of nums are unique; nums is sorted in ascending order.,https://leetcode.com/problems/Summary-Ranges/,Summary Ranges,Intervals,"['class Solution:\n    # O(n) time | O(n) space (for output list) - where n is the length of the input list\n    def summaryRanges(self, nums: list[int]) -> list[str]:\n        if not nums:\n            return []\n\n        ranges: list[str] = []\n\n        # start of the current range\n        start = nums[0]\n        for i in range(1, len(nums)):\n            # if the current number is not consecutive, add the range to the list\n            if nums[i] != nums[i - 1] + 1:\n                # 1. if the range has only one number, add it to the list\n                if start == nums[i - 1]:\n                    ranges.append(str(start))\n                else:\n                    # 2. if the range has more than one number, add the range to the list\n                    ranges.append(f""{start}->{nums[i - 1]}"")\n\n                # update the start of the next range\n                start = nums[i]\n\n        # add the last range\n        # 1. if the range has only one number, add it to the list\n        if start == nums[-1]:\n            ranges.append(str(start))\n        else:\n            # 2. if the range has more than one number, add the range to the list\n            ranges.append(f""{start}->{nums[-1]}"")\n\n        return ranges', '# Test cases\n\nsummary_ranges = Solution().summaryRanges\n\n# Expected: [""0->2"",""4->5"",""7""]\nprint(summary_ranges([0, 1, 2, 4, 5, 7]))\n\n# Expected: [""0"",""2->4"",""6"",""8->9""]\nprint(summary_ranges([0, 2, 3, 4, 6, 8, 9]))']"
What are the time and space complexities of the merge intervals algorithm?,Analyze merge intervals complexity,"Input: [[1,3],[2,6],[8,10],[15,18]]; Output: [[1,6],[8,10],[15,18]]",Consider n intervals where n is a positive integer.,https://leetcode.com/problems/Merge-Intervals/,Merge Intervals,Intervals,"['class Solution:\n    def merge(self, intervals: list[list[int]]) -> list[list[int]]:\n        # sort the intervals by the start value\n        intervals.sort(key=lambda x: x[0])\n\n        merged = []\n        for interval in intervals:\n            # if the list of merged intervals is empty or if the current interval does not overlap with the previous, simply append it.\n            if not merged or merged[-1][1] < interval[0]:\n                merged.append(interval)\n            else:\n                # otherwise, there is overlap, so we merge the current and previous intervals.\n                merged[-1][1] = max(merged[-1][1], interval[1])\n\n        return merged', '# Test cases\n\nmerge = Solution().merge\n\ntest_case1 = [[1, 3], [2, 6], [8, 10], [15, 18]]\ntest_case2 = [[1, 4], [4, 5]]\n\noutput1 = merge(test_case1)\noutput2 = merge(test_case2)\n\noutput1, output2']"
"Given a sorted array of non-overlapping intervals and a new interval, insert the new interval into the array while merging any overlapping intervals.",Insert new interval,"Input: intervals = [[1,3],[6,9]], newInterval = [2,5] Output: [[1,5],[6,9]]",0 <= intervals.length <= 10^4; intervals[i].length == 2; 0 <= starti <= endi <= 10^5; newInterval.length == 2; 0 <= start <= end <= 10^5,https://leetcode.com/problems/Insert-Interval/,Insert Interval,Intervals,"['class Solution:\n    # Overall time complexity is O(N) dominated by the merge function\n    # Space complexity is O(N) due to the merged list\n    def insert(self, intervals: list[list[int]], newInterval: list[int]) -> list[list[int]]:\n        # binary search to find the insertion point for the new interval - O(log N)\n        def find_insertion_point():\n            low, high = 0, len(intervals) - 1\n            while low <= high:\n                mid = (low + high) // 2\n                if intervals[mid][0] < newInterval[0]:\n                    low = mid + 1\n                else:\n                    high = mid - 1\n            return low\n\n        insertion_point = find_insertion_point()\n\n        # Insert the new interval into the list\n        intervals.insert(insertion_point, newInterval)\n\n        # Now, merge overlapping intervals starting from the insertion point\n        return self.merge(intervals)\n\n    def merge(self, intervals: list[list[int]]) -> list[list[int]]:\n        # sort the intervals by the start value\n        intervals.sort(key=lambda x: x[0])\n\n        merged = []\n        for interval in intervals:\n            # if the list of merged intervals is empty or if the current interval does not overlap with the previous, simply append it.\n            if not merged or merged[-1][1] < interval[0]:\n                merged.append(interval)\n            else:\n                # otherwise, there is overlap, so we merge the current and previous intervals.\n                merged[-1][1] = max(merged[-1][1], interval[1])\n\n        return merged', '# Example\nsolution = Solution()\n\n# Example 1\nintervals1 = [[1, 3], [6, 9]]\nnew_interval1 = [2, 5]\nprint(solution.insert(intervals1, new_interval1))\n\n# Example 2\nintervals2 = [[1, 2], [3, 5], [6, 7], [8, 10], [12, 16]]\nnew_interval2 = [4, 8]\nprint(solution.insert(intervals2, new_interval2))']"
What are the time and space complexities of the 'Minimum Number of Arrows to Burst Balloons' algorithm?,Analyze algorithm complexities,"Input: points = [[10,16],[2,8],[1,6],[7,12]]; Output: Time Complexity: O(n log n), Space Complexity: O(log n)",Assume n is the number of balloons.,https://leetcode.com/problems/Minimum-Number-of-Arrows-to-Burst-Balloons/,Minimum Number of Arrows to Burst Balloons,Intervals,"['class Solution:\n    # solve with greedy algorithm - sort by end point\n    def findMinArrowShots(self, points: list[list[int]]) -> int:\n        # sort the balloons by end point -\n        # ensure to place an arrow as far to the right as possible\n        points.sort(key=lambda x: x[1])\n\n        # initialize the arrow count and arrow position\n        arrows = 1\n        arrow_pos = points[0][1]\n\n        # iterate through the balloons\n        for x_start, x_end in points:\n            # if the balloon is not popped by the current arrow\n            if arrow_pos < x_start:\n                # move the arrow to the end of the current balloon\n                arrow_pos = x_end\n                # increment the arrow count\n                arrows += 1\n\n        return arrows', '# Example\nfindMinArrowShots = Solution().findMinArrowShots\n\n# Test cases\ntest_cases = [\n    ([[10, 16], [2, 8], [1, 6], [7, 12]], 2),\n    ([[1, 2], [3, 4], [5, 6], [7, 8]], 4),\n    ([[1, 2], [2, 3], [3, 4], [4, 5]], 2),\n]\n\n# Execute test cases\nresults = []\nfor points, expected in test_cases:\n    result = findMinArrowShots(points)\n    results.append((points, result == expected, expected, result))\n\nresults']"
"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid based on specific rules for brackets.",Validating parentheses in string,Input: s = '()' Output: true; Input: s = '()[]{}' Output: true; Input: s = '(]' Output: false,1 <= s.length <= 10^4; s consists of parentheses only '()[]{}'.,https://leetcode.com/problems/Valid-Parentheses/,Valid Parentheses,Stack,"[""class Solution:\n    # Time complexity: O(n)\n    # Space complexity: O(n)\n    def isValid(self, s: str) -> bool:\n        # create a stack\n        stack = []\n\n        # create a dictionary to store the pairs\n        pairs = {\n            ')': '(',\n            ']': '[',\n            '}': '{'\n        }\n\n        # iterate through the string\n        for char in s:\n            # if a char is the closing bracket\n            if char in pairs:\n                # pop the topmost element if stack is not empty else assign a dummy value\n                top_element = stack.pop() if stack else '#'\n                # if the top element is not the corresponding opening bracket\n                if pairs[char] != top_element:\n                    return False\n            else:\n                # if the char is an opening bracket, push it to the stack\n                stack.append(char)\n\n        # if the stack is empty, return True as all brackets are closed properly else False\n        return not stack"", '# Test cases\n\nisValid = Solution().isValid\n\ntest_cases = [""()"", ""()[]{}"", ""(]""]\nresults = [isValid(s) for s in test_cases]\nresults']"
"Given an absolute Unix-style file path, convert it to the simplified canonical path according to specific rules regarding slashes and directory references.",Simplify Unix-style file path,"Input: path = ""/home/""
Output: ""/home""
Input: path = ""/../""
Output: ""/""
Input: path = ""/home//foo/""
Output: ""/home/foo""","1 <= path.length <= 3000; path consists of English letters, digits, period '.', slash '/', or '_'; path is a valid absolute Unix path.",https://leetcode.com/problems/Simplify-Path/,Simplify Path,Stack,"[""class Solution:\n    def simplifyPath(self, path: str) -> str:\n        # split the path by '/\n        path = path.split('/')\n\n        # create a stack to store the path\n        stack = []\n\n        # iterate through the path\n        for p in path:\n            # if the path is not empty\n            if p:\n                # if the path is '..'\n                if p == '..':\n                    # pop the last element (go back to the previous directory)\n                    if stack:\n                        stack.pop()\n                # if the path is not '.' (not the current directory)\n                elif p != '.':\n                    # append the path to the stack\n                    stack.append(p)\n\n        # returnd the simplified path\n        return '/' + '/'.join(stack)"", '# Test cases\n\nsimplifyPath = Solution().simplifyPath\n\nprint(simplifyPath(""/home/""))  # Output: ""/home""\nprint(simplifyPath(""/../""))  # Output: ""/""\nprint(simplifyPath(""/home//foo/""))  # Output: ""/home/foo""']"
